Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation,is_last_day,day,month,year,date,year-month
11/12,1.3231547356,1.72685499,0.924443194,1.1222299252,0,12,11,2013,2013-11-12,2013-11
11/13,1.2687310044,1.72685499,0.8933567266,1.1222299252,0,13,11,2013,2013-11-13,2013-11
11/14,1.2687310044,1.72685499,0.8933567266,1.1222299252,0,14,11,2013,2013-11-14,2013-11
11/15,1.2687310044,1.72685499,0.8933567266,1.1222299252,0,15,11,2013,2013-11-15,2013-11
11/18,1.2687310044,1.72685499,0.8933567266,1.1222299252,0,18,11,2013,2013-11-18,2013-11
11/19,1.2632097564,1.72685499,0.890203027,1.1222299252,0,19,11,2013,2013-11-19,2013-11
11/20,1.2380164955,1.7016566279,0.8798489246,1.1127423463,0,20,11,2013,2013-11-20,2013-11
11/21,1.2380164955,1.7016566279,0.8798489246,1.1127423463,0,21,11,2013,2013-11-21,2013-11
11/22,1.2380164955,1.7016566279,0.8798489246,1.1127423463,0,22,11,2013,2013-11-22,2013-11
11/25,1.2380164955,1.7016566279,0.8798489246,1.1127423463,0,25,11,2013,2013-11-25,2013-11
11/26,1.2643582644,1.7016566279,0.8948848094,1.1127423463,0,26,11,2013,2013-11-26,2013-11
11/27,1.2643582644,1.7016566279,0.8948848094,1.1127423463,0,27,11,2013,2013-11-27,2013-11
11/30,1.2643582644,1.7016566279,0.8948848094,1.1127423463,1,30,11,2013,2013-11-30,2013-11
12/03,1.6899620883,1.7277597918,1.1555553747,1.1550834488,0,3,12,2013,2013-12-03,2013-12
12/04,1.5167261998,1.7277597918,1.0567368322,1.1550834488,0,4,12,2013,2013-12-04,2013-12
12/05,1.5167261998,1.7277597918,1.0567368322,1.1550834488,0,5,12,2013,2013-12-05,2013-12
12/06,1.5167261998,1.7277597918,1.0582853441,1.1631911103,0,6,12,2013,2013-12-06,2013-12
12/09,1.5167261998,1.7277597918,1.0582853441,1.1631911103,0,9,12,2013,2013-12-09,2013-12
12/10,1.5142955784,1.7277597918,1.0568981962,1.1631911103,0,10,12,2013,2013-12-10,2013-12
12/11,1.5142955784,1.7277597918,1.0568981962,1.1631911103,0,11,12,2013,2013-12-11,2013-12
12/12,1.5142955784,1.7277597918,1.0568981962,1.1631911103,0,12,12,2013,2013-12-12,2013-12
12/13,1.5142955784,1.7277597918,1.0568981962,1.1631911103,0,13,12,2013,2013-12-13,2013-12
12/16,1.5142955784,1.7277597918,1.0568981962,1.1631911103,0,16,12,2013,2013-12-16,2013-12
12/17,1.4677197015,1.7484004244,1.057305704,1.1950997033,0,17,12,2013,2013-12-17,2013-12
12/18,1.4677197015,1.7484004244,1.057305704,1.1950997033,0,18,12,2013,2013-12-18,2013-12
12/19,1.4677197015,1.7484004244,1.057305704,1.1950997033,0,19,12,2013,2013-12-19,2013-12
12/20,1.4677197015,1.7484004244,1.057305704,1.1950997033,0,20,12,2013,2013-12-20,2013-12
12/23,1.4677197015,1.7484004244,1.0149673079,1.1596561517,0,23,12,2013,2013-12-23,2013-12
12/24,1.4716801757,1.7484004244,1.0172340012,1.1596561517,0,24,12,2013,2013-12-24,2013-12
12/26,1.4716801757,1.7484004244,1.0172340012,1.1596561517,0,26,12,2013,2013-12-26,2013-12
12/27,1.4716801757,1.7484004244,1.0172340012,1.1596561517,0,27,12,2013,2013-12-27,2013-12
12/30,1.4716801757,1.7484004244,1.0172340012,1.1596561517,0,30,12,2013,2013-12-30,2013-12
12/31,1.4930667366,1.7484004244,1.029474145,1.1596561517,1,31,12,2013,2013-12-31,2013-12
01/02,1.4978694255,1.6380973212,1.0120622812,1.0552843074,0,2,1,2014,2014-01-02,2014-1
01/03,1.3917868156,1.6380973212,0.9510966714,1.0552843074,0,3,1,2014,2014-01-03,2014-1
01/06,1.3988121105,1.6380973212,0.955134104,1.0552843074,0,6,1,2014,2014-01-06,2014-1
01/07,1.4804584005,1.6380973212,1.002056176,1.0552843074,0,7,1,2014,2014-01-07,2014-1
01/08,1.4804584005,1.6380973212,1.002056176,1.0552843074,0,8,1,2014,2014-01-08,2014-1
01/09,1.4804584005,1.6380973212,1.002056176,1.0552843074,0,9,1,2014,2014-01-09,2014-1
01/10,1.4804584005,1.6380973212,1.002056176,1.0552843074,0,10,1,2014,2014-01-10,2014-1
01/13,1.4804584005,1.6380973212,1.002056176,1.0552843074,0,13,1,2014,2014-01-13,2014-1
01/14,1.4764167839,1.6380973212,0.9997334614,1.0552843074,0,14,1,2014,2014-01-14,2014-1
01/15,1.4764167839,1.6380973212,0.9997334614,1.0552843074,0,15,1,2014,2014-01-15,2014-1
01/16,1.4858308611,1.6039643509,1.0392289518,1.0360489316,0,16,1,2014,2014-01-16,2014-1
01/17,1.4858308611,1.6039643509,1.0392289518,1.0360489316,0,17,1,2014,2014-01-17,2014-1
01/21,1.4858308611,1.6039643509,1.0392289518,1.0360489316,0,21,1,2014,2014-01-21,2014-1
01/22,1.4682395611,1.6039643509,1.0290520123,1.0360489316,0,22,1,2014,2014-01-22,2014-1
01/23,1.4682395611,1.6039643509,1.0290520123,1.0360489316,0,23,1,2014,2014-01-23,2014-1
01/24,1.4682395611,1.6039643509,1.0290520123,1.0360489316,0,24,1,2014,2014-01-24,2014-1
01/27,1.4682395611,1.6039643509,1.0290520123,1.0360489316,0,27,1,2014,2014-01-27,2014-1
01/28,1.459037958,1.6039643509,1.0237286902,1.0360489316,0,28,1,2014,2014-01-28,2014-1
01/29,1.459037958,1.6039643509,1.0237286902,1.0360489316,0,29,1,2014,2014-01-29,2014-1
01/30,1.459037958,1.6039643509,1.0237286902,1.0360489316,0,30,1,2014,2014-01-30,2014-1
01/31,1.459037958,1.6039643509,1.0257919424,1.0557710861,1,31,1,2014,2014-01-31,2014-1
02/03,0.8741244957,1.5623920568,0.7059198168,1.0570646333,0,3,2,2014,2014-02-03,2014-2
02/04,0.7648642095,1.5623920568,0.643052286,1.0570646333,0,4,2,2014,2014-02-04,2014-2
02/05,0.7648642095,1.5623920568,0.643052286,1.0570646333,0,5,2,2014,2014-02-05,2014-2
02/06,0.7648642095,1.5623920568,0.643052286,1.0570646333,0,6,2,2014,2014-02-06,2014-2
02/07,0.7648642095,1.5623920568,0.643052286,1.0570646333,0,7,2,2014,2014-02-07,2014-2
02/10,0.7648642095,1.5623920568,0.643052286,1.0570646333,0,10,2,2014,2014-02-10,2014-2
02/11,0.7776477973,1.5623920568,0.6504078643,1.0570646333,0,11,2,2014,2014-02-11,2014-2
02/12,0.7776477973,1.5623920568,0.6504078643,1.0570646333,0,12,2,2014,2014-02-12,2014-2
